service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4036,0,0,0,0,0,1,1,20190209,20190310
3475,0,0,0,0,0,1,1,20190106,20190406
3325,0,0,0,0,1,0,0,20190111,20190405
211,0,0,0,0,0,1,0,20190112,20190330
3476,1,1,1,1,1,0,0,20190107,20190322
3315,0,0,0,0,0,1,0,20190112,20190406
3279,0,0,0,0,0,1,1,20190302,20190310
3318,1,1,1,1,1,0,0,20190107,20190322
3322,0,0,0,0,0,1,1,20190106,20190406
3324,0,0,0,0,0,0,1,20190106,20190331
972,1,1,1,1,0,0,0,20190107,20190404
3239,0,0,0,0,0,0,1,20190224,20190303
3222,0,0,0,0,0,1,0,20190223,20190302
3484,1,1,1,1,1,1,1,20190107,20190405
3297,1,1,1,1,1,1,1,20190107,20190203
3344,1,0,0,0,0,0,0,20190107,20190401
3346,1,1,1,1,1,0,0,20190107,20190322
3310,0,1,1,1,1,0,0,20190108,20190405
3407,1,1,1,1,1,0,0,20190107,20190405
3416,1,1,0,1,1,0,0,20190107,20190405
3415,0,0,1,0,0,1,1,20190106,20190406
865,1,1,1,1,1,0,0,20190107,20190405
3414,1,0,0,0,0,0,0,20190107,20190401
3446,0,0,0,0,0,0,1,20190113,20190324
3354,0,0,0,0,0,1,1,20190106,20190406
3444,0,0,0,0,0,1,0,20190304,20190323
3443,1,1,1,1,0,0,0,20190107,20190406
3445,0,0,0,0,1,0,0,20190106,20190405
148,0,0,0,0,1,0,0,20190111,20190405
3408,1,1,1,1,0,0,0,20190107,20190404
3440,0,0,0,0,0,0,1,20190204,20190303
3441,0,0,0,0,0,0,1,20190304,20190324
3366,1,1,1,1,1,1,0,20190401,20190406
3365,1,1,1,1,1,1,1,20190106,20190329
3671,1,1,1,1,0,0,0,20190107,20190406
3412,0,0,0,0,1,0,1,20190106,20190329
3342,0,0,0,0,0,0,1,20190106,20190324
969,1,1,1,1,1,0,0,20190107,20190111
3340,1,1,1,1,1,0,0,20190106,20190406
3338,0,0,0,0,0,1,1,20190304,20190324
3343,0,0,0,0,1,0,0,20190111,20190405
3577,0,0,0,0,0,1,1,20190106,20190203
3578,1,1,1,1,1,0,0,20190204,20190405
3676,0,0,0,0,0,1,0,20190112,20190406
3579,0,0,0,0,0,1,1,20190209,20190406
3661,1,1,1,1,1,1,1,20190106,20190406
3335,0,0,0,0,1,1,1,20190106,20190406
3621,1,1,1,1,1,1,1,20190106,20190406
6,1,1,1,1,1,1,1,20190106,20190330
3306,1,1,1,1,1,1,1,20190106,20190406
3314,1,1,1,1,1,1,1,20190106,20190406
3413,1,1,1,1,1,1,1,20190106,20190406
3263,1,1,1,1,1,0,0,20190204,20190405
3674,1,1,1,1,1,0,0,20190204,20190405
3673,1,1,1,1,1,0,0,20190107,20190201
3667,1,1,1,1,1,0,0,20190107,20190201
3467,1,1,1,1,1,1,1,20190204,20190217
3243,1,1,1,1,1,0,0,20190204,20190215
3397,0,0,0,0,1,1,1,20190106,20190406
3670,0,0,0,0,0,0,1,20190106,20190203
3668,1,1,1,1,1,0,0,20190325,20190405
3666,0,0,0,0,0,0,1,20190210,20190217
3622,1,1,1,1,1,1,1,20190325,20190406
84,1,1,1,1,1,1,1,20190106,20190203
1529,1,1,1,1,0,0,0,20190107,20190328
3632,1,1,1,1,1,1,1,20190325,20190406
3309,1,1,1,1,1,1,1,20190106,20190406
2766,0,0,0,0,1,0,0,20190111,20190322
2767,0,0,0,0,1,0,0,20190329,20190405
2240,1,1,1,1,1,0,0,20190325,20190405
2559,1,1,1,1,1,0,0,20190325,20190405
2556,1,1,1,1,1,1,1,20190106,20190406
2942,0,0,0,0,0,1,1,20190106,20190406
2484,1,1,1,1,1,1,1,20190106,20190406
2765,1,1,1,1,0,1,1,20190106,20190406
